label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
A,0.0,0.0,0.0,-0.5842655301094055,-0.07013370096683502,-5.094968219054863e-05,-1.0161415338516235,-0.3293062150478363,-5.708001845050603e-05,-1.1837151050567627,-0.7135415077209473,-6.944243796169758e-05,-1.049641728401184,-0.9975427389144897,-5.519862679648213e-05,-0.7424958348274231,-0.8253403902053833,6.569885590579361e-05,-0.8920945525169373,-1.049041748046875,-2.6998488465324044e-05,-0.7849717736244202,-0.7027727365493774,-7.566933345515281e-05,-0.7032806873321533,-0.6705294847488403,-0.00010274377564201131,-0.447858601808548,-0.8941043615341187,5.2075945859542117e-05,-0.6173226833343506,-1.1046756505966187,-5.31071491423063e-05,-0.5232373476028442,-0.6855499148368835,-6.955938442843035e-05,-0.42407843470573425,-0.7006285786628723,-5.30777033418417e-05,-0.16415446996688843,-0.9356486201286316,1.545637314848136e-05,-0.32425183057785034,-1.161570429801941,-8.739306940697134e-05,-0.2758231461048126,-0.7354071736335754,-2.6196234102826566e-05,-0.1717044562101364,-0.7185561656951904,4.5563094317913055e-05,0.14864802360534668,-0.9468317031860352,-2.9304419513209723e-05,-0.01635993830859661,-1.1178306341171265,-6.572995334863663e-05,-0.035694826394319534,-0.8104864954948425,-3.7133245314180385e-06,0.044400155544281006,-0.7584345936775208,5.7790999562712386e-05
A,0.0,0.0,0.0,-0.5866449475288391,-0.03737805411219597,-5.1973973313579336e-05,-1.0449481010437012,-0.3128482699394226,-5.4298874601954594e-05,-1.2189992666244507,-0.7154043912887573,-6.275773921515793e-05,-1.0742546319961548,-0.9954018592834473,-4.5035365474177524e-05,-0.7803167104721069,-0.8051170706748962,6.540714821312577e-05,-0.9166629314422607,-1.0569453239440918,-3.354714863235131e-05,-0.802259087562561,-0.7042222023010254,-8.563005394535139e-05,-0.725731372833252,-0.6606006026268005,-0.00011351205466780812,-0.4797936677932739,-0.8773813843727112,5.163613968761638e-05,-0.634003758430481,-1.1072289943695068,-5.336828326107934e-05,-0.5387763977050781,-0.6790375113487244,-7.037130853859708e-05,-0.4597933888435364,-0.6935120820999146,-5.490235344041139e-05,-0.190262109041214,-0.9267446994781494,1.3851173207513057e-05,-0.33795979619026184,-1.1651957035064697,-9.19251106097363e-05,-0.2804059088230133,-0.7264413237571716,-3.2366253435611725e-05,-0.18617406487464905,-0.7110952138900757,3.8338916056090966e-05,0.12540122866630554,-0.9537183046340942,-3.204917084076442e-05,-0.028041066601872444,-1.1140799522399902,-7.159067172324285e-05,-0.03329925239086151,-0.7941892743110657,-1.0936732905975077e-05,0.04536309093236923,-0.7439547181129456,4.945290493196808e-05
A,0.0,0.0,0.0,-0.5608008503913879,0.035296905785799026,-5.320889613358304e-05,-1.0535496473312378,-0.2901802062988281,-5.019027958041988e-05,-1.2132514715194702,-0.7273932695388794,-5.028361192671582e-05,-1.060645580291748,-0.9732578992843628,-2.4865019440767355e-05,-0.8144708275794983,-0.8056367039680481,3.265984923928045e-05,-0.9319524765014648,-1.0550109148025513,-7.070581341395155e-05,-0.817374587059021,-0.6953745484352112,-0.00011988433834630996,-0.749180793762207,-0.6456452012062073,-0.00014688345254398882,-0.4919312298297882,-0.8706340193748474,1.840337790781632e-05,-0.6412985324859619,-1.1013809442520142,-9.539408347336575e-05,-0.5463866591453552,-0.6579117774963379,-0.0001105028495658189,-0.4792362451553345,-0.6636242866516113,-9.376274101668969e-05,-0.18974517285823822,-0.9142631888389587,-1.7476946595706977e-05,-0.33028608560562134,-1.1402984857559204,-0.00012960041931364685,-0.2664794623851776,-0.6840142011642456,-6.311509787337855e-05,-0.18842077255249023,-0.6690511703491211,1.0647677299857605e-05,0.1327257603406906,-0.9528438448905945,-6.107964145485312e-05,-0.01684824749827385,-1.0904556512832642,-0.00010425124492030591,-0.0030566228087991476,-0.7554077506065369,-4.0812672523315996e-05,0.06862888485193253,-0.7083305716514587,1.9888979295501485e-05
A,0.0,0.0,0.0,-0.5997105240821838,-0.06222851201891899,-3.85756793548353e-05,-1.0351701974868774,-0.37313684821128845,-3.202496372978203e-05,-1.1836844682693481,-0.7799492478370667,-3.5316552384756505e-05,-1.0453652143478394,-1.0437345504760742,-1.347756460745586e-05,-0.728423535823822,-0.8653354644775391,7.93203798821196e-05,-0.8799121975898743,-1.1035038232803345,-2.3135222363634966e-05,-0.7947317361831665,-0.74382483959198,-7.601120159961283e-05,-0.7113721966743469,-0.7027940154075623,-0.00010254656808683649,-0.4214302599430084,-0.906860888004303,5.90216695854906e-05,-0.5911295413970947,-1.1403576135635376,-5.27274351043161e-05,-0.534052848815918,-0.6956703066825867,-7.163803093135357e-05,-0.4380938410758972,-0.7146825790405273,-5.4904798162169755e-05,-0.13334894180297852,-0.9318986535072327,1.4978447325120214e-05,-0.29182857275009155,-1.1676217317581177,-9.689322178019211e-05,-0.26842254400253296,-0.7121564745903015,-3.712034595082514e-05,-0.1599668264389038,-0.7021375894546509,3.670359728857875e-05,0.1817958801984787,-0.943495512008667,-3.5962180845672265e-05,0.013996909372508526,-1.110885739326477,-7.40679242881015e-05,-0.017439700663089752,-0.7797271013259888,-1.0191140063398052e-05,0.0729537308216095,-0.7261444330215454,5.344689270714298e-05
A,0.0,0.0,0.0,-0.556219220161438,-0.1971997171640396,-4.986385647498537e-06,-0.8479617238044739,-0.5005645751953125,-3.8969324123172555e-06,-0.9398654699325562,-0.8002010583877563,-2.1871968783671036e-05,-0.9460775256156921,-1.05182683467865,-2.4778079023235478e-05,-0.48221802711486816,-0.9443075060844421,0.00010106428089784458,-0.7106269598007202,-1.089821696281433,1.6105605027405545e-05,-0.6680642366409302,-0.7725171446800232,-3.759601531783119e-05,-0.5351415276527405,-0.695512056350708,-6.423153536161408e-05,-0.25995180010795593,-0.9656216502189636,6.780300464015454e-05,-0.49292194843292236,-1.1131354570388794,-2.4776749341981485e-05,-0.4712144434452057,-0.7438136339187622,-4.5527558540925384e-05,-0.3130634129047394,-0.7138912081718445,-3.43435094691813e-05,-0.024132145568728447,-0.9606907963752747,1.5256676306307781e-05,-0.24443818628787994,-1.1001980304718018,-7.45495708542876e-05,-0.25747591257095337,-0.733874499797821,-3.258330616517924e-05,-0.10991853475570679,-0.6904450058937073,2.249136014143005e-05,0.23776623606681824,-0.9257528781890869,-4.135998824494891e-05,0.0019893907010555267,-1.0484563112258911,-7.667107274755836e-05,-0.05519310384988785,-0.7880287766456604,-2.8778104024240747e-05,0.06324406713247299,-0.7284797430038452,2.1889836716582067e-05
A,0.0,0.0,0.0,-0.5058032870292664,-0.20929813385009766,4.354708948994812e-07,-0.7282454967498779,-0.5290604829788208,3.732822506208322e-06,-0.8139725923538208,-0.7791807651519775,-1.0464317711011972e-05,-0.8319513201713562,-0.9909930229187012,-9.770304131961893e-06,-0.3519038259983063,-0.9760621786117554,9.351393964607269e-05,-0.6466838121414185,-1.04425847530365,9.385792509419844e-06,-0.6062438488006592,-0.7329023480415344,-4.045047171530314e-05,-0.47233104705810547,-0.656217098236084,-6.378990656230599e-05,-0.15235257148742676,-0.9883263111114502,5.80827945668716e-05,-0.4949035942554474,-1.0230034589767456,-3.4611093724379316e-05,-0.4605756402015686,-0.6659508347511292,-4.929618080495857e-05,-0.28714612126350403,-0.6528883576393127,-3.428216223255731e-05,0.04585070163011551,-0.9663379788398743,4.253223323757993e-06,-0.29744845628738403,-0.9765018820762634,-8.949541370384395e-05,-0.2889638841152191,-0.6262052059173584,-5.226880603004247e-05,-0.12127166986465454,-0.6105893850326538,-7.46541218177299e-07,0.23414571583271027,-0.898751974105835,-5.301972123561427e-05,-0.10209819674491882,-0.9047955870628357,-0.00010248898615827784,-0.12333964556455612,-0.6649278998374939,-6.925527122803032e-05,0.02429899573326111,-0.6308099627494812,-2.6825171516975388e-05
A,0.0,0.0,0.0,-0.5306073427200317,-0.20766645669937134,-1.7685051716398448e-05,-0.7915134429931641,-0.5356236100196838,-1.8737202481133863e-05,-0.8701028227806091,-0.8024882674217224,-3.260042649344541e-05,-0.8441917300224304,-1.0061497688293457,-2.9466664273058996e-05,-0.379453182220459,-0.9853459000587463,7.452857244061306e-05,-0.6544313430786133,-1.0625203847885132,-7.988764082256239e-06,-0.6168368458747864,-0.737957775592804,-5.668769153999165e-05,-0.49225401878356934,-0.6817951202392578,-8.170110231731087e-05,-0.15233823657035828,-0.9883284568786621,4.943352178088389e-05,-0.4550829529762268,-1.0433459281921387,-3.771571209654212e-05,-0.44924309849739075,-0.6729587912559509,-4.770162558997981e-05,-0.2954089641571045,-0.6632985472679138,-3.208335328963585e-05,0.06847812235355377,-0.9522180557250977,5.307649189489894e-06,-0.2234213501214981,-1.0021108388900757,-8.41876317281276e-05,-0.2527005672454834,-0.6333498954772949,-3.943611227441579e-05,-0.09944915771484375,-0.606638491153717,1.55273392010713e-05,0.27771273255348206,-0.8692779541015625,-4.39702307630796e-05,-0.002275185426697135,-0.9091212749481201,-8.728237298782915e-05,-0.057671919465065,-0.6659977436065674,-4.833123603020795e-05,0.07256043702363968,-0.627680242061615,-3.6293299672252033e-06
A,0.0,0.0,0.0,-0.5481737852096558,-0.17562834918498993,-5.6545704865129665e-05,-0.9285674095153809,-0.4839315712451935,-6.69839937472716e-05,-1.0415571928024292,-0.8316563963890076,-8.264436473837122e-05,-0.8797247409820557,-1.0626765489578247,-7.08658408257179e-05,-0.5681430101394653,-0.94725102186203,5.873243571841158e-05,-0.7510378956794739,-1.1084365844726562,-4.345339038991369e-05,-0.6802740693092346,-0.7458791136741638,-9.981317998608574e-05,-0.5957104563713074,-0.7588045001029968,-0.00013175724598113447,-0.28400465846061707,-0.9588228464126587,5.0032802391797304e-05,-0.472380667924881,-1.1304112672805786,-6.417161785066128e-05,-0.43687501549720764,-0.69347083568573,-8.109684858936816e-05,-0.34161850810050964,-0.7330813407897949,-6.367179594235495e-05,-0.0030342694371938705,-0.9477046728134155,1.6894795408006757e-05,-0.17980729043483734,-1.1209800243377686,-8.634452387923375e-05,-0.18607957661151886,-0.6982197165489197,-2.525338641135022e-05,-0.07924128323793411,-0.7157731056213379,4.6183678932720795e-05,0.279639333486557,-0.9079025983810425,-2.5349871066282503e-05,0.10937187820672989,-1.022669792175293,-5.674469139194116e-05,0.05094243213534355,-0.7475494146347046,7.34038621885702e-07,0.14142805337905884,-0.7382772564888,5.7782694057095796e-05
A,0.0,0.0,0.0,-0.5344425439834595,-0.03935233876109123,-9.224031964549795e-05,-0.9765300154685974,-0.3878619074821472,-0.00010426037624711171,-1.088697910308838,-0.824316143989563,-0.0001089217112166807,-0.84633469581604,-1.0470272302627563,-8.279872417915612e-05,-0.731306791305542,-0.8760033249855042,7.592539986944757e-06,-0.7555740475654602,-1.0976316928863525,-9.040982695296407e-05,-0.6879058480262756,-0.7286209464073181,-0.00013105361722409725,-0.6864412426948547,-0.7316541075706482,-0.00015684927348047495,-0.4014067053794861,-0.9158998727798462,8.57484519656282e-06,-0.46402937173843384,-1.1381908655166626,-0.00010509569256100804,-0.42275679111480713,-0.6766936779022217,-0.0001197268211399205,-0.4172399044036865,-0.7175629138946533,-0.00010354539699619636,-0.10163440555334091,-0.9266462326049805,-1.4958642168494407e-05,-0.15700116753578186,-1.136590600013733,-0.00012490397784858942,-0.1391606628894806,-0.6847800612449646,-6.400755228241906e-05,-0.11973381042480469,-0.7222027778625488,4.0232280298369005e-06,0.21163561940193176,-0.9200896620750427,-4.9438422138337046e-05,0.1351662129163742,-1.064682960510254,-8.953205542638898e-05,0.12098930031061172,-0.7501606941223145,-3.0785940907662734e-05,0.15265972912311554,-0.7298949360847473,2.497114473953843e-05
A,0.0,0.0,0.0,-0.4464879333972931,-0.0012405413435772061,-0.0001178281381726265,-0.9016398787498474,-0.3708662986755371,-0.0001314738328801468,-1.0177425146102905,-0.8335232734680176,-0.00012891431106254458,-0.8043221235275269,-1.049133539199829,-9.54265779000707e-05,-0.744924783706665,-0.8700847029685974,-2.124698403349612e-05,-0.694746196269989,-1.096860408782959,-0.0001356123830191791,-0.6064632534980774,-0.7319095134735107,-0.00018398035899735987,-0.6576306223869324,-0.7199684381484985,-0.00020907445286866277,-0.42835235595703125,-0.9036117792129517,-1.088687167793978e-05,-0.42107924818992615,-1.152382731437683,-0.00012924682232551277,-0.355360746383667,-0.6897032856941223,-0.00013985703117214143,-0.42567476630210876,-0.7046920657157898,-0.00011992989311693236,-0.14488188922405243,-0.9205952286720276,-2.9581062335637398e-05,-0.1250922530889511,-1.1531099081039429,-0.00015794076898600906,-0.09261875599622726,-0.7024135589599609,-0.00011039225501008332,-0.15705884993076324,-0.6991246938705444,-4.818425077246502e-05,0.14840804040431976,-0.9143985509872437,-6.023838432156481e-05,0.14027039706707,-1.0751408338546753,-0.0001231061469297856,0.16192588210105896,-0.7647270560264587,-7.791420648572966e-05,0.1357693076133728,-0.7089160680770874,-2.935876909759827e-05
